id,complaint_text,category_label
1,I was charged twice for my reservation,billing
2,Mobile app is not loading properly,technical
3,Customer service did not respond to my request,service
4,Payment was deducted but booking not confirmed,billing
5,Payment was deducted but booking not confirmed,billing
6,My reservation disappeared from the system,booking
7,I was charged twice for my reservation,billing
8,Customer service did not respond to my request,service
9,Housekeeping did not clean the room,cleanliness
10,Payment was deducted but booking not confirmed,billing
11,My request was ignored by the service team,service
12,Room booking was not confirmed,booking
13,Booking confirmation email never arrived,booking
14,The booking website crashed during payment,technical
15,Reception staff behaved unprofessionally,service
16,System error while confirming reservation,technical
17,Customer service did not respond to my request,service
18,The booking website crashed during payment,technical
19,Refund has not been processed,billing
20,Unexpected charges appeared on my bill,billing
21,The website keeps showing server errors,technical
22,The booking website crashed during payment,technical
23,Booking confirmation email never arrived,booking
24,Refund has not been processed,billing
25,Payment was deducted but booking not confirmed,billing
26,The website keeps showing server errors,technical
27,The website keeps showing server errors,technical
28,The staff was not helpful during check-in,service
29,The invoice amount is incorrect,billing
30,The booking website crashed during payment,technical
31,The staff was not helpful during check-in,service
32,I received the wrong booking dates,booking
33,I received the wrong booking dates,booking
34,The response from support was very slow,service
35,Mobile app is not loading properly,technical
36,The booking website crashed during payment,technical
37,Bathroom hygiene was unacceptable,cleanliness
38,Bathroom hygiene was unacceptable,cleanliness
39,Reception staff behaved unprofessionally,service
40,I received the wrong booking dates,booking
41,Bathroom hygiene was unacceptable,cleanliness
42,The booking website crashed during payment,technical
43,The staff was not helpful during check-in,service
44,Unable to access my account,technical
45,The booking website crashed during payment,technical
46,My request was ignored by the service team,service
47,Mobile app is not loading properly,technical
48,Reservation details were incorrect,booking
49,Room booking was not confirmed,booking
50,Mobile app is not loading properly,technical
51,My request was ignored by the service team,service
52,Bedsheets were dirty,cleanliness
53,The room had a bad smell,cleanliness
54,The room had a bad smell,cleanliness
55,Mobile app is not loading properly,technical
56,My request was ignored by the service team,service
57,My reservation disappeared from the system,booking
58,I was charged twice for my reservation,billing
59,Customer service did not respond to my request,service
60,Booking confirmation email never arrived,booking
61,Refund has not been processed,billing
62,Booking confirmation email never arrived,booking
63,Booking confirmation email never arrived,booking
64,The website keeps showing server errors,technical
65,I was charged twice for my reservation,billing
66,Bedsheets were dirty,cleanliness
67,The booking website crashed during payment,technical
68,Unable to access my account,technical
69,Reception staff behaved unprofessionally,service
70,Unexpected charges appeared on my bill,billing
71,Bathroom hygiene was unacceptable,cleanliness
72,The hotel room was not clean,cleanliness
73,The website keeps showing server errors,technical
74,Bathroom hygiene was unacceptable,cleanliness
75,The response from support was very slow,service
76,My request was ignored by the service team,service
77,The hotel room was not clean,cleanliness
78,Bedsheets were dirty,cleanliness
79,My reservation disappeared from the system,booking
80,Unexpected charges appeared on my bill,billing
81,Mobile app is not loading properly,technical
82,The invoice amount is incorrect,billing
83,The hotel room was not clean,cleanliness
84,Refund has not been processed,billing
85,Payment was deducted but booking not confirmed,billing
86,Customer service did not respond to my request,service
87,Booking confirmation email never arrived,booking
88,The response from support was very slow,service
89,Housekeeping did not clean the room,cleanliness
90,Room booking was not confirmed,booking
91,Bathroom hygiene was unacceptable,cleanliness
92,Unable to access my account,technical
93,Unable to access my account,technical
94,The room had a bad smell,cleanliness
95,The invoice amount is incorrect,billing
96,The staff was not helpful during check-in,service
97,The booking website crashed during payment,technical
98,Housekeeping did not clean the room,cleanliness
99,My request was ignored by the service team,service
100,The staff was not helpful during check-in,service
101,I was charged twice for my reservation,billing
102,The staff was not helpful during check-in,service
103,Unexpected charges appeared on my bill,billing
104,Payment was deducted but booking not confirmed,billing
105,The response from support was very slow,service
106,Room booking was not confirmed,booking
107,Bathroom hygiene was unacceptable,cleanliness
108,Housekeeping did not clean the room,cleanliness
109,Room booking was not confirmed,booking
110,Reservation details were incorrect,booking
111,The staff was not helpful during check-in,service
112,Refund has not been processed,billing
113,Unable to access my account,technical
114,Reservation details were incorrect,booking
115,I was charged twice for my reservation,billing
116,Refund has not been processed,billing
117,The booking website crashed during payment,technical
118,Customer service did not respond to my request,service
119,My request was ignored by the service team,service
120,Room booking was not confirmed,booking
121,Room booking was not confirmed,booking
122,Unable to access my account,technical
123,The staff was not helpful during check-in,service
124,Booking confirmation email never arrived,booking
125,I was charged twice for my reservation,billing
126,The hotel room was not clean,cleanliness
127,The invoice amount is incorrect,billing
128,Reception staff behaved unprofessionally,service
129,Reservation details were incorrect,booking
130,Reception staff behaved unprofessionally,service
131,The invoice amount is incorrect,billing
132,My reservation disappeared from the system,booking
133,I received the wrong booking dates,booking
134,I received the wrong booking dates,booking
135,Booking confirmation email never arrived,booking
136,Room booking was not confirmed,booking
137,The response from support was very slow,service
138,The staff was not helpful during check-in,service
139,Housekeeping did not clean the room,cleanliness
140,Unexpected charges appeared on my bill,billing
141,I was charged twice for my reservation,billing
142,The room had a bad smell,cleanliness
143,Housekeeping did not clean the room,cleanliness
144,The staff was not helpful during check-in,service
145,The hotel room was not clean,cleanliness
146,The staff was not helpful during check-in,service
147,The hotel room was not clean,cleanliness
148,Reception staff behaved unprofessionally,service
149,Payment was deducted but booking not confirmed,billing
150,My request was ignored by the service team,service
151,The hotel room was not clean,cleanliness
152,The hotel room was not clean,cleanliness
153,Booking confirmation email never arrived,booking
154,Housekeeping did not clean the room,cleanliness
155,System error while confirming reservation,technical
156,The response from support was very slow,service
157,The response from support was very slow,service
